"STOCK_CODE","STOCK_NAME","MARKET_TYPE","SECTOR","LISTED_DATE","STATUS"
"001510","SK증권보통주","KOSPI","금융 지원 서비스업",86/09/20,"ACTIVE"
"28513K","SK케미칼1우선주","KOSPI","화학",18/01/05,"ACTIVE"
"017670","SK텔레콤보통주","KOSPI","전기 통신업",89/11/07,"ACTIVE"
"064960","SNT모티브보통주","KOSPI","자동차 신품 부품 제조업",02/03/11,"ACTIVE"
"100840","SNT에너지보통주","KOSPI","일반 목적용 기계 제조업",08/02/22,"ACTIVE"
"036530","SNT홀딩스보통주","KOSPI","기타 금융업",02/10/22,"ACTIVE"
"465770","STX그린로지스보통주","KOSPI","해상 운송업",23/09/15,"ACTIVE"
"041930","SY동아","KOSDAQ","고무제품 제조업",01/12/26,"ACTIVE"
"084870","TBH글로벌보통주","KOSPI","봉제의복 제조업",05/12/19,"ACTIVE"
"024070","WISCOM보통주","KOSPI","플라스틱제품 제조업",96/11/22,"ACTIVE"
"079940","가비아","KOSDAQ","소프트웨어 개발 및 공급업",05/10/19,"ACTIVE"
"000500","가온전선보통주","KOSPI","절연선 및 케이블 제조업",87/06/08,"ACTIVE"
"399720","가온칩스","KOSDAQ","반도체 제조업",22/05/20,"ACTIVE"
"296520","가이아코퍼레이션","KONEX","생활용품 도매업",23/06/20,"ACTIVE"
"036620","감성코퍼레이션","KOSDAQ","기타 전문 도매업",00/01/11,"ACTIVE"
"198440","강동씨앤엘","KOSDAQ","시멘트, 석회, 플라스터 및 그 제품 제조업",14/08/13,"ACTIVE"
"035250","강원랜드보통주","KOSPI","유원지 및 기타 오락관련 서비스업",03/09/04,"ACTIVE"
"114190","강원에너지","KOSDAQ","기타 전기장비 제조업",09/11/20,"ACTIVE"
"011420","갤럭시아에스엠보통주","KOSPI","스포츠 서비스업",89/11/14,"ACTIVE"
"039240","경남스틸","KOSDAQ","1차 철강 제조업",00/03/07,"ACTIVE"
"053950","경남제약","KOSDAQ","의약품 제조업",01/11/06,"ACTIVE"
"002100","경농보통주","KOSPI","비료, 농약 및 살균, 살충제 제조업",77/06/30,"ACTIVE"
"267290","경동도시가스보통주","KOSPI","연료용 가스 제조 및 배관공급업",17/05/12,"ACTIVE"
"012320","경동인베스트보통주","KOSPI","기타 금융업",97/03/07,"ACTIVE"
"011040","경동제약","KOSDAQ","의약품 제조업",92/12/18,"ACTIVE"
"000050","경방보통주","KOSPI","종합 소매업",56/03/03,"ACTIVE"
"012610","경인양행보통주","KOSPI","기초 화학물질 제조업",95/10/05,"ACTIVE"
"009140","경인전자보통주","KOSPI","전자부품 제조업",89/06/20,"ACTIVE"
"024910","경창산업","KOSDAQ","자동차 신품 부품 제조업",94/12/29,"ACTIVE"
"013580","계룡건설산업보통주","KOSPI","토목 건설업",96/01/30,"ACTIVE"
"012205","계양전기1우선주","KOSPI","기계·장비",89/08/02,"ACTIVE"
"002140","고려산업보통주","KOSPI","곡물가공품, 전분 및 전분제품 제조업",91/01/14,"ACTIVE"
